index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
5,E05013040,Fens & Greatham,Hartlepool,331.5,98.8,6380,52.1,47.9,47.3,98.8,1.3,46.9,36.1,80.19999999999999,8.9,10.9,13.5,31.3,55.3,1.1,50.3,2.4,16.9,30.2,25.6,44.2,35.9,21.3,28.2,14.6,0,1.0,2.0,0,3.0,0,0,0,0,0,1,0,1,2,15
12,E05013041,Foggy Furze,Hartlepool,4832.0,97.2,8154,51.3,48.7,48.4,96.2,3.8,39.1,34.5,61.6,16.3,22.0,18.299999999999997,37.9,43.8,2.8,47.0,4.5,26.3,36.4,25.5,38.2,26.799999999999997,17.6,34.7,20.8,0,2.0,2.0,0,3.0,0,0,0,0,0,1,0,1,3,15
21,E05013043,Headland & Harbour,Hartlepool,1955.9,97.6,8134,49.8,50.2,46.3,96.7,3.4,37.3,34.1,40.8,33.8,25.4,16.5,41.5,42.0,2.4000000000000004,48.3,5.5,28.7,36.9,23.2,40.0,27.4,16.1,34.1,22.4,0,1.0,3.0,0,3.0,0,0,0,0,0,1,0,1,5,15
27,E05013045,Rossmere,Hartlepool,2752.9,98.7,7515,52.6,47.4,47.7,98.0,2.0,33.9,34.3,45.3,40.1,14.7,20.8,40.3,39.00000000000001,1.4,48.0,4.3,31.799999999999997,39.900000000000006,24.6,35.6,23.1,15.9,36.599999999999994,24.4,0,1.0,1.0,0,2.0,0,0,0,0,0,1,0,1,7,15
34,E05013047,Seaton (Hartlepool),,692.3,98.8,7194,51.5,48.5,42.3,98.3,1.7,53.2,33.0,81.89999999999999,7.5,10.7,16.4,36.8,46.900000000000006,1.1,55.3,2.4,13.9,25.5,24.1,50.3,39.9,22.1,23.799999999999997,14.2,0,0.0,0.0,0,0.0,0,0,1,0,1,0,0,0,9,15
40,E05013048,Throston,Hartlepool,3701.6,98.1,8255,52.8,47.2,42.5,97.4,2.7,43.0,33.3,57.00000000000001,27.4,15.5,21.0,39.6,39.599999999999994,1.8000000000000005,53.5,4.0,23.8,32.6,24.3,43.2,29.9,18.5,31.6,20.0,0,0.0,1.0,0,2.0,0,0,0,0,0,0,0,1,10,15
46,E05013049,Victoria (Hartlepool),,5344.4,93.2,7488,51.0,49.0,48.2,89.2,10.8,34.8,34.3,44.8,22.2,33.0,19.0,44.7,36.3,6.699999999999999,45.6,6.2,30.8,36.5,23.5,40.0,24.4,15.7,33.400000000000006,26.5,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,11,15
68,E05009858,Coulby Newham,Middlesbrough,2271.8,98.0,8340,53.1,46.9,44.9,96.3,3.5999999999999996,43.7,32.1,60.00000000000001,30.6,9.5,16.8,37.400000000000006,46.0,2.0,51.9,3.2,24.3,30.3,24.2,45.5,33.699999999999996,20.200000000000003,28.1,18.1,0,2.0,3.0,0,3.0,0,0,0,0,0,1,0,1,17,15
71,E05009859,Hemlington,Middlesbrough,4136.5,98.3,6568,52.4,47.6,50.4,97.1,2.9000000000000004,34.6,34.8,41.00000000000001,47.8,11.2,21.299999999999997,39.2,39.6,1.7,44.400000000000006,5.2,30.6,39.8,25.2,35.0,22.3,16.9,36.8,24.0,0,0.0,1.0,0,2.0,0,0,0,0,0,0,0,1,18,15
75,E05009860,Kader,Middlesbrough,2136.5,94.1,4809,52.3,47.7,49.7,85.0,15.0,49.5,33.4,85.1,2.8,12.1,13.8,32.0,54.0,5.8,47.400000000000006,2.9,17.0,29.0,23.8,47.3,39.9,21.0,23.3,15.8,0,0.0,1.0,0,1.0,0,0,0,0,0,0,0,1,19,15
